Title,Authors,Year,Journal,Identifier,URL
"Disease model discovery from 3,328 gene knockouts by The International Mouse Phenotyping Consortium","Terrence F Meehan; Nathalie Conte; David B West; Julius O Jacobsen; Jeremy Mason; Jonathan Warren; … Damien Smedley et al.","2017","Nature Genetics","PMID:28650483 DOI:10.1038/ng.3901","https://pubmed.ncbi.nlm.nih.gov/28650483/"
"The International Mouse Phenotyping Consortium (IMPC): a functional catalogue of the mammalian genome that informs conservation","Violeta Muñoz-Fuentes; Pilar Cacheiro; Terrence F Meehan; Aguilar-Pimentel J.A.; Brown S.D.M.; …","2018","Conservation Genetics","PMID:30100824 DOI:10.1007/s10592-018-1072-9","https://pubmed.ncbi.nlm.nih.gov/30100824/"
"Towards an encyclopaedia of mammalian gene function: the International Mouse Phenotyping Consortium","Steve D M Brown; Mark W Moore","2012","Disease Models & Mechanisms","PMID:22566555 DOI:10.1242/dmm.009878","https://pubmed.ncbi.nlm.nih.gov/22566555/"
"The International Mouse Phenotyping Consortium Web Portal, a unified point of access for knockout mice and related phenotyping data","G Koscielny; et al.","2014","Nucleic Acids Research","DOI:10.1093/nar/gkt1060","https://academic.oup.com/nar/article/42/D1/D802/1069801"
"The International Mouse Phenotyping Consortium: comprehensive knockout phenotyping underpinning the study of human disease","Tudor Groza; Federico Lopez Gomez; Hamed Haseli Mashhadi; …","2023","Nucleic Acids Research","PMID:36305825 DOI:10.1093/nar/gkac972","https://pubmed.ncbi.nlm.nih.gov/36305825/"
"Power matters in closing the phenotyping gap","Carola W Meyer; Ralf Elvert; André Scherag; Nicole Ehrhardt; Valerie Gailus-Durner; Helmut Fuchs; Helmut Schäfer; Martin Hrabé de Angelis; Gerhard Heldmaier; Martin Klingenspor","2007","Naturwissenschaften","PMID:17216184 DOI:10.1007/s00114-006-0203-1","https://pubmed.ncbi.nlm.nih.gov/17216184/"
"Empirical versus theoretical power and type I error (false-positive) rates estimated from real murine aging research data","Irene Alfaras; Keisuke Ejima; Camila Vieira Ligo Teixeira; Clara Di Germanio; Sarah J Mitchell; Samuel Hamilton; Luigi Ferrucci; Nathan L Price; David B Allison; Michel Bernier; Rafael de Cabo","2021","Cell Reports","PMID:34407413 DOI:10.1016/j.celrep.2021.109560","https://pubmed.ncbi.nlm.nih.gov/34407413/"
